"파워링크보고서(2024.12.01.~2024.12.31.),canofix-man:naver"
"캠페인유형",캠페인,광고그룹,키워드,PC/모바일 매체,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위,방문당 평균페이지뷰,방문당 평균체류시간(초),전환수(네이버페이),전환매출액(네이버페이)
"파워링크",djcanofix.kr,1 전국,폴리카보네이트가공,PC,17,0,0,0,5.9,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트가공,모바일,31,1,781,781,3.2,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트규격,PC,22,0,0,0,4.1,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트규격,모바일,18,0,0,0,2.4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트설치,PC,3,0,0,0,6.3,0,0,0,0
"파워링크",djcanofix.kr,1 전국,폴리카보네이트설치,모바일,1,0,0,0,4,0,0,0,0
"파워링크",djcanofix.kr,1 전국,햇빛가림막,PC,5,0,0,0,7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,햇빛가림막,모바일,6,0,0,0,3.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,현관비가림,PC,1,0,0,0,7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,현관비가림,모바일,3,0,0,0,2.7,0,0,0,0
"파워링크",djcanofix.kr,1 전국,현관캐노피,PC,32,0,0,0,3.2,0,0,0,0
"파워링크",djcanofix.kr,1 전국,현관캐노피,모바일,8,1,517,517,3.8,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전렉산,PC,18,0,0,0,4.6,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전렉산,모바일,9,0,0,0,3.1,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전렉산공사,PC,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전렉산시공,모바일,2,0,0,0,1.5,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전복층렉산,모바일,1,0,0,0,1,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전지붕재,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노피,PC,9,0,0,0,2.7,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노피,모바일,5,1,"3,421","3,421",1.4,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노피공사,PC,1,1,77,77,5,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노픽스,PC,5,1,110,110,3,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노픽스,모바일,2,0,0,0,2.5,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전캐노픽스설치,모바일,2,1,77,77,1,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전폴리카보네이트,PC,2,1,253,253,2.5,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,대전폴리카보네이트,모바일,5,0,0,0,2.4,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,세종렉산,모바일,1,0,0,0,3,0,0,0,0
"파워링크",djcanofix.kr,2 대전 세종,세종캐노피,모바일,1,0,0,0,4,0,0,0,0
